section_id,term,department,cross_list_group,course_description,section_number,title,credits,level,status,enrollment_limit,actual_enrollment,cross_list_enrollment,waitlist
78164,201770,ENGL,-,LING 523,2,English Phonetics,3,Graduate - First,O,18,16,0,0
74551,201770,ENGL,EG,LING 523,DL1,English Phonetics,3,Graduate - First,CN,18,3,5,0
74307,201770,ENGL,6O,LING 580,3,First Language Acquisition,3,Graduate - First,O,15,13,21,0
81781,201770,ENGL,CU,LING 690,2,Generative Phonology,3,Graduate - First,O,20,17,32,0
80985,201770,ENGL,-,LING 770,1,Research Methods,3,Graduate - Advanced,O,15,4,0,0
81358,201770,ENGL,-,LING 787,1,Syntax II,3,Graduate - Advanced,O,18,12,0,0
80986,201770,ENGL,-,LING 788,1,Semantics/Pragmatics II,3,Graduate - Advanced,O,15,7,0,0
80987,201770,ENGL,-,LING 890,1,Advanced Phonology Seminar,3,Graduate - Advanced,O,15,8,0,0
80312,201770,HE,-,HE 602,1,College Teaching,3,Graduate - First,O,15,10,0,0
80313,201770,HE,-,HE 603,1,Higher Education Digital Age,3,Graduate - First,O,15,11,0,0
80314,201770,HE,-,HE 621,1,Higher Education in the U.S.,3,Graduate - First,WL,15,17,0,6
80315,201770,HE,-,HE 644,1,Student Service in Higher Educ,3,Graduate - First,WL,15,14,0,2
80316,201770,HE,-,HE 645,1,The Contemp College Student,3,Graduate - First,O,15,12,0,0
71492,201770,HE,-,HE 685,1,Higher Education Practicum,3,Graduate - First,CN,15,3,0,0
75387,201770,HE,-,HE 722,1,Organization/Admin Higher Ed,3,Graduate - Advanced,O,15,14,0,0
80317,201770,HE,-,HE 792,1,Contemp & Criticl Soc Theories,3,Graduate - Advanced,O,15,10,0,0
71491,201770,HE,-,HE 885,1,Internship College Teach/Admin,3,Graduate - Advanced,CN,15,0,0,0
70132,201770,HIST,-,ARTH 101,1,Introduction to Visual Arts,3,Undergraduate - Lower Division,WL,60,58,0,6
70133,201770,HIST,-,ARTH 101,2,Introduction to Visual Arts,3,Undergraduate - Lower Division,WL,60,60,0,7
70134,201770,HIST,-,ARTH 102,1,Symbols/Stories in Western Art,3,Undergraduate - Lower Division,WL,60,60,0,0
71773,201770,HIST,-,ARTH 102,2,Symbols/Stories in Western Art,3,Undergraduate - Lower Division,WL,60,60,0,1
71896,201770,HIST,-,ARTH 103,1,Introduction to Architecture,3,Undergraduate - Lower Division,WL,60,58,0,7
70136,201770,HIST,-,ARTH 200,2,History of Western Art I,3,Undergraduate - Lower Division,WL,60,60,0,3
70137,201770,HIST,-,ARTH 201,1,History of Western Art II,3,Undergraduate - Lower Division,O,60,59,0,0
73287,201770,HIST,-,ARTH 201,DL1,History of Western Art II,3,Undergraduate - Lower Division,O,40,34,0,0
81406,201770,HIST,DM,ARTH 206,1,Survey of African Art,3,Undergraduate - Lower Division,O,39,38,60,0
81037,201770,HIST,6T,ARTH 303,1,Contemp Chinese Film,3,Undergraduate - Upper Division,O,10,3,24,0
80586,201770,HIST,2K,ARTH 303,DL1,Medieval Irish Art & Culture,3,Undergraduate - Upper Division,O,20,19,39,0
81166,201770,HIST,7A,ARTH 315,1,Modern Architecture,3,Undergraduate - Upper Division,O,15,13,16,0
81407,201770,HIST,-,ARTH 318,1,Art and Arch of Ancient Egypt,3,Undergraduate - Upper Division,O,39,34,0,0
80587,201770,HIST,-,ARTH 322,1,Roman Art,3,Undergraduate - Upper Division,WL,40,40,0,1
81334,201770,HIST,9X,ARTH 334,1,Western Medieval Art,3,Undergraduate - Upper Division,O,15,15,39,0
80588,201770,HIST,-,ARTH 341,1,Northern Renaissance Art,3,Undergraduate - Upper Division,O,40,29,0,0
74994,201770,HIST,FZ,ARTH 350,1,History of Photography,3,Undergraduate - Upper Division,O,25,12,14,0
74995,201770,HIST,-,ARTH 362,1,20th Cent European Art,3,Undergraduate - Upper Division,O,40,27,0,0
80589,201770,HIST,-,ARTH 370,1,Arts of the United States,3,Undergraduate - Upper Division,O,40,23,0,0
